time,max_temp,min_temp,weather_q,weather_dy,weather_dyq,weather_qdy,weather_xq,weather_xydy,is_holiday,AQI,QR,PM2.5,PM10,SO2,CO,NO2,O3_8h,air_quality_excellent,air_quality_good,air_quality_slightly_polluted,air_quality_moderately_polluted,air_quality_heavy_polluted
2018/10/1,25,18,1,0,0,0,0,0,1,40,18,18,53,11,0.6,31,118,0,1,0,0,0
2018/10/2,25,18,1,0,0,0,0,0,1,44,23,23,48,9,0.6,41,137,0,1,0,0,0
2018/10/3,25,20,1,0,0,0,0,0,1,52,22,22,39,7,0.5,37,134,0,1,0,0,0
2018/10/4,26,20,0,1,0,0,0,0,1,74,17,17,35,7,0.5,19,132,0,1,0,0,0
2018/10/5,22,19,0,0,0,0,0,1,1,107,16,16,32,6,0.5,16,110,0,1,0,0,0
2018/10/6,26,19,0,1,0,0,0,0,1,33,23,23,46,8,0.6,28,118,0,1,0,0,0
2018/10/7,26,19,0,1,0,0,0,0,1,50,29,29,61,8,0.6,34,186,0,0,1,0,0
2018/10/8,25,19,0,1,0,0,0,0,0,42,16,16,45,7,0.5,27,109,0,1,0,0,0
2018/10/9,24,18,0,0,0,0,0,1,0,25,26,26,54,7,0.6,59,81,0,1,0,0,0
2018/10/10,21,16,0,1,0,0,0,0,0,32,22,22,42,7,0.6,26,81,1,0,0,0,0
2018/10/11,21,15,0,1,0,0,0,0,0,45,16,16,38,7,0.5,30,97,1,0,0,0,0
2018/10/12,21,15,0,1,0,0,0,0,0,74,17,17,35,7,0.5,42,98,0,1,0,0,0
2018/10/13,22,17,0,1,0,0,0,0,0,109,18,18,33,6,0.5,43,115,0,1,0,0,0
2018/10/14,22,18,0,0,0,0,1,0,0,190,13,13,25,6,0.5,32,91,1,0,0,0,0
2018/10/15,23,18,0,0,0,0,0,1,0,202,12,12,27,7,0.5,31,107,0,1,0,0,0
2018/10/16,19,15,0,0,0,0,0,1,0,83,23,23,32,6,0.5,34,103,0,1,0,0,0
2018/10/17,22,16,0,1,0,0,0,0,1,53,42,42,57,8,0.6,60,142,0,1,0,0,0
2018/10/18,21,13,0,1,0,0,0,0,0,67,19,19,31,6,0.5,30,96,1,0,0,0,0
2018/10/19,21,16,0,1,0,0,0,0,0,73,15,15,36,7,0.5,47,98,0,1,0,0,0
2018/10/20,20,16,0,1,0,0,0,0,0,88,12,12,29,6,0.5,42,91,0,1,0,0,0
2018/10/21,22,17,0,0,0,0,0,1,0,150,14,14,28,7,0.5,39,97,1,0,0,0,0
2018/10/22,19,16,0,0,0,0,0,1,0,158,15,15,19,5,0.5,49,69,0,1,0,0,0
2018/10/23,22,17,1,0,0,0,0,0,0,45,58,58,65,9,0.9,46,113,0,1,0,0,0
2018/10/24,23,17,1,0,0,0,0,0,0,82,66,66,77,9,0.9,61,140,0,1,0,0,0
2018/10/25,23,17,0,0,0,0,0,1,0,112,25,25,58,9,0.5,36,119,0,1,0,0,0
2018/10/26,22,12,0,1,0,0,0,0,0,44,54,54,86,10,0.7,43,121,0,1,0,0,0
2018/10/27,20,12,1,0,0,0,0,0,0,33,31,31,87,13,0.6,57,76,0,1,0,0,0
2018/10/28,22,14,1,0,0,0,0,0,0,36,39,39,78,15,0.7,73,112,0,1,0,0,0
2018/10/29,24,15,1,0,0,0,0,0,0,31,53,53,92,19,0.9,79,107,0,1,0,0,0
2018/10/30,23,14,0,1,0,0,0,0,0,49,19,19,41,8,0.5,41,106,0,1,0,0,0
2018/10/31,19,13,0,1,0,0,0,0,0,62,18,18,33,8,0.5,28,108,0,1,0,0,0
2018/11/1,19,14,0,1,0,0,0,0,0,83,11,11,23,6,0.5,27,101,0,1,0,0,0
2018/11/2,20,16,0,1,0,0,0,0,0,152,14,14,28,6,0.5,43,84,0,1,0,0,0
2018/11/3,20,17,0,0,0,0,0,1,0,211,16,16,28,6,0.5,41,95,0,1,0,0,0
2018/11/4,23,18,0,1,0,0,0,0,0,102,22,22,28,7,0.6,43,104,0,1,0,0,0
2018/11/5,22,17,0,0,0,0,1,0,0,47,25,25,30,7,0.5,30,94,1,0,0,0,0
2018/11/6,21,17,0,0,0,0,0,1,0,50,20,20,31,6,0.5,32,102,0,1,0,0,0
2018/11/7,19,13,0,0,0,0,0,1,0,65,35,35,34,6,0.7,50,48,0,1,0,0,0
2018/11/8,14,10,0,0,0,0,1,0,0,93,18,18,22,5,0.9,36,32,1,0,0,0,0
2018/11/9,18,12,0,0,0,1,0,0,0,54,53,53,59,9,0.9,53,74,0,1,0,0,0
2018/11/10,19,12,0,0,0,0,0,1,0,50,41,41,33,6,0.6,45,99,0,1,0,0,0
2018/11/11,21,15,0,0,0,0,0,1,0,72,52,52,49,8,0.7,50,62,0,1,0,0,0
2018/11/12,17,13,0,0,0,0,0,1,0,132,16,16,27,5,0.5,29,86,1,0,0,0,0
2018/11/13,18,12,0,1,0,0,0,0,0,230,24,24,41,6,0.5,45,91,0,1,0,0,0
2018/11/14,19,13,0,1,0,0,0,0,0,270,32,32,51,6,0.6,56,97,0,1,0,0,0
2018/11/15,18,15,0,0,0,0,0,1,0,80,23,23,37,6,0.6,70,48,0,1,0,0,0
2018/11/16,17,13,0,0,0,0,0,1,0,39,21,21,23,5,0.5,34,78,1,0,0,0,0
2018/11/17,17,13,0,0,0,0,0,1,0,75,15,15,31,5,0.5,25,83,1,0,0,0,0
2018/11/18,13,10,0,0,0,0,0,1,0,64,15,15,17,5,0.5,34,60,1,0,0,0,0
2018/11/19,15,10,0,1,0,0,0,0,0,83,76,76,99,10,1,61,55,0,0,1,0,0
2018/11/20,17,12,0,0,0,0,0,1,0,69,52,52,53,9,1,64,84,0,1,0,0,0
2018/11/21,15,10,0,0,0,0,0,1,0,51,11,11,15,5,0.5,40,77,1,0,0,0,0
2018/11/22,15,9,0,1,0,0,0,0,0,64,32,32,48,7,0.6,40,84,1,0,0,0,0
2018/11/23,17,11,0,0,0,1,0,0,0,92,39,39,55,7,0.6,67,84,0,1,0,0,0
2018/11/24,19,11,0,1,0,0,0,0,0,122,50,50,63,8,0.7,63,72,0,1,0,0,0
2018/11/25,19,12,0,1,0,0,0,0,0,119,81,81,79,8,1,79,115,0,0,1,0,0
2018/11/26,20,13,0,1,0,0,0,0,0,267,54,54,57,7,0.9,85,83,0,0,1,0,0
2018/11/27,19,13,0,1,0,0,0,0,0,161,77,77,83,8,1.2,82,81,0,0,1,0,0
2018/11/28,17,12,0,1,0,0,0,0,0,115,124,124,133,10,1.4,98,69,0,0,0,1,0
2018/11/29,18,12,0,1,0,0,0,0,0,101,106,106,119,9,1.4,102,117,0,0,1,0,0
2018/11/30,19,13,0,0,1,0,0,0,0,122,58,58,109,7,0.7,70,95,0,1,0,0,0
2018/12/1,20,14,0,1,0,0,0,0,0,180,30,30,70,7,0.5,57,75,0,1,0,0,0
2018/12/2,21,15,0,0,0,0,0,1,0,233,28,28,40,6,0.5,46,51,0,1,0,0,0
2018/12/3,19,14,0,0,0,0,0,1,0,152,53,53,57,6,0.9,62,20,0,1,0,0,0
2018/12/4,16,11,0,0,0,0,0,1,0,61,23,23,35,5,0.6,35,54,1,0,0,0,0
2018/12/5,14,10,0,0,0,0,0,1,0,76,14,14,57,5,0.5,30,63,0,1,0,0,0
2018/12/6,11,7,0,0,0,0,0,1,0,37,13,13,25,5,0.5,29,61,1,0,0,0,0
2018/12/7,8,3,0,0,0,0,0,1,0,38,20,20,30,6,0.5,29,63,1,0,0,0,0
